id,type,name,length_m,width_m,height_m,qty,floor_start,floor_end,material,weight_kg
C001,Slab,Typical Floor Slab,12.0,8.5,0.25,28,3,26,Steel Panel,28.8
C002,Wall,Shear Wall SW-1,6.0,3.2,0.30,56,1,24,Modular Panel,37.5
C003,Wall,Partition Wall PW-A,4.5,3.0,0.15,112,5,26,Modular Panel,18.8
C004,Beam,Main Beam MB-1,8.5,0.6,0.4,84,3,26,Steel + Timber,32.0
C005,Beam,Secondary Beam SB-2,4.2,0.4,0.3,168,3,26,Steel + Timber,14.4
C006,Column,Column C1 600x600,0.6,0.6,3.2,196,1,28,Steel Form,68.0
C007,Column,Column C2 450x450,0.45,0.45,3.2,84,1,28,Steel Form,45.0
C008,Staircase,Stair Flight SF-1,3.5,1.2,0.18,56,2,27,Custom Form,38.5
C009,Slab,Cantilever Slab CS-1,2.0,8.5,0.20,14,5,26,Steel Panel,24.0
C010,Wall,Lift Core Wall LC-1,2.5,3.2,0.25,112,1,28,Climbing Form,42.0
C011,Slab,Transfer Slab TS-1,14.0,10.0,0.35,4,2,2,Steel Panel,48.0
C012,Column,Column C3 750x750,0.75,0.75,3.2,28,1,14,Steel Form,85.0
C013,Beam,Edge Beam EB-1,6.0,0.4,0.35,140,3,26,Steel + Timber,22.0
C014,Wall,Retaining Wall RW-1,8.0,3.5,0.35,8,1,1,Modular Panel,55.0
C015,Slab,Roof Slab RS-1,12.0,8.5,0.20,2,28,28,Steel Panel,26.0
C016,Staircase,Landing Slab LS-1,2.8,1.2,0.15,56,2,27,Custom Form,18.0
C017,Wall,Basement Wall BW-1,6.0,3.0,0.30,16,1,1,Modular Panel,40.0
C018,Beam,Lintel Beam LB-1,2.0,0.3,0.25,224,3,26,Steel + Timber,8.5
C019,Column,Pillar P1 300x300,0.3,0.3,3.0,56,1,14,Steel Form,25.0
C020,Slab,Balcony Slab BS-1,2.0,4.0,0.15,44,5,26,Steel Panel,16.0
C021,Wall,Core Wall CW-1,3.0,3.2,0.25,84,1,28,Climbing Form,35.0
C022,Beam,Cantilever Beam CB-1,3.0,0.5,0.35,44,5,26,Steel + Timber,28.0
C023,Column,Column C4 500x500,0.5,0.5,3.2,112,1,28,Steel Form,52.0
C024,Slab,Drop Panel DP-1,2.4,2.4,0.1,168,3,26,Steel Panel,12.0
C025,Wall,Boundary Wall BWL-1,10.0,2.5,0.20,4,1,1,Modular Panel,32.0
